化学式：Ca(NO₃)₂	硝酸钙
化学式：Ca(OH)₂	氢氧化钙
化学式：Ca(OH)₂	熟石灰
化学式：Ca(OH)₂	石灰水
化学式：CaCO₃	石灰石
化学式：CaCO₃	碳酸钙
化学式：CaCl₂	氯化钙
化学式：CaSO₄	硫酸钙
化学式：CaSO₄·2H₂O	石膏
化学式：Ca₃(PO₄)₂	磷酸钙
化学式：Cu(NO₃)₂	硝酸铜
化学式：Cu(OH)₂	氢氧化铜
化学式：CuCl₂	氯化铜
化学式：CuO	氧化铜
化学式：CuS	硫化铜
化学式：CuSO₄	硫酸铜
化学式：CuSO₄·5H₂O	胆矾
化学式：CuSO₄·₅H₂O	蓝矾
化学式：Cu₂(OH)₂CO₃	孔雀石
化学式：Cu₂(OH)₂CO₃	碱式碳酸铜
化学式：Cu₂(OH)₂CO₃	铜绿
化学式：Cu₂O	氧化亚铜
化学式：C₁₂H₂₂O₁₁	蔗糖
化学式：C₂H₂	乙炔
化学式：C₂H₆O	乙醇
化学式：C₂H₆O	酒精
化学式：C₃H₆N₆	三聚氰胺
化学式：C₃H₈	丙烷
化学式：C₆H₁₂O₆	葡萄糖
化学式：Fe	铁粉
化学式：Fe(OH)₂	氢氧化亚铁
化学式：Fe(OH)₃	氢氧化铁
化学式：FeCl₂	氯化亚铁
化学式：FeCl₃	氯化铁
化学式：FeO	氧化亚铁
化学式：FeSO₄	硫酸亚铁
化学式：FeSO₄·7H₂O	绿矾
化学式：Fe₂(SO₄)₃	硫酸铁
化学式：Fe₂O₃	三氧化二铁
化学式：Fe₂O₃	氧化铁
化学式：Fe₃O₄	四氧化三铁
化学式：HBr	溴化氢
化学式：HCl	氯化氢
化学式：HCl	盐酸
化学式：HNO₃	硝酸
化学式：H₂CO₃	碳酸
化学式：H₂O	shui
化学式：H₂O	一氧化二氢
化学式：H₂O	水
化学式：H₂O₂	二氧化氢
化学式：H₂O₂	过氧化氢
化学式：H₂S	硫化氢
化学式：H₂SO₃	亚硫酸
化学式：H₂SO₄	硫酸
化学式：H₃PO₄	磷酸
化学式：KAl(SO₄)₂·12H₂O	明矾
化学式：KCl	氯化钾
化学式：KClO₃	氯酸钾
化学式：KHSO₄	硫酸氢钾
化学式：KH₂PO₄	磷酸二氢钾
化学式：KMnO₄	高锰酸钾
化学式：KNO₃	硝酸钾
化学式：KOH	氢氧化钾
化学式：K₂CO₃	碳酸钾
化学式：K₂CO₃	草木灰
化学式：K₂MnO₄	锰酸钾
化学式：K₂O	氧化钾
化学式：K₂SO₄	硫酸钾
化学式：LiNO₃	硝酸锂
化学式：LiOH	氢氧化锂
化学式：Mg(NO₃)₂	硝酸镁
化学式：Mg(OH)₂	氢氧化镁
化学式：MgCO₃	碳酸镁
化学式：MgCl₂	氯化镁
化学式：MgO	氧化镁
化学式：MgSO₄	硫酸镁
化学式：MnO₂	二氧化锰
化学式：NH₃·H₂O	氨水
化学式：NH₄Cl	氯化铵
化学式：NH₄HCO₃	碳酸氢铵
化学式：NH₄NO₃	硝酸铵
化学式：NH₄OH	氢氧化铵
化学式：NO	一氧化氮
化学式：NO₂	二氧化氮
化学式：NaCl	氯化钠
化学式：NaCl	食盐
化学式：NaHCO₃	碳酸氢钠
化学式：NaHSO₄	硫酸氢钠
化学式：NaH₂PO₄	磷酸二氢钠
化学式：NaNO₂	亚硝酸钠
化学式：NaNO₃	硝酸钠
化学式：NaOH	氢氧化钠
化学式：NaOH	烧碱
化学式：NaSO₃	亚硫酸钠
化学式：Na₂CO₃	碳酸钠
化学式：Na₂CO₃	纯碱
化学式：Na₂CO₃·10H₂O	碳酸钠晶体
化学式：Na₂O	氧化钠
化学式：Na₂S	硫化钠
化学式：Na₂SO₄	硫酸钠
化学式：Pb(NO₃)₂	硝酸铅
化学式：PbO	氧化铅
化学式：P₂O₅	五氧化二磷
化学式：SO₂	二氧化硫
化学式：SO₃	三氧化硫
化学式：SiO₂	二氧化硅
化学式：WO₃	三氧化钨
化学式：Zn(NO₃)₂	硝酸锌
化学式：ZnCl₂	氯化锌
化学式：BaTiO₃	钛酸钡
化学式：C₃H₆O	丙酮
化学式：LiNbO₃	铌酸锂
化学式：Si₃N₄	氮化硅
化学式：SrTiO₃	钛酸锶
化学式：MoS₂	二硫化钼
化学式：LiTaO₃	钽酸锂
化学式：AlN	氮化铝
化学式：Ta₂O₅	氧化钽
化学式：Ta₂O₅	五氧化二钽
化学式：Ga₂O₃	氧化镓
